Dataset,Type,Classes,Test_Samples,Timesteps,Channels,Test_Accuracy,Test_F1_Weighted,Test_Precision_Weighted,Test_Recall_Weighted
ArticularyWordRecognition,Multivariate,25,144,144,9,0.9722222222222222,0.9734913234913236,0.9800347222222222,0.9722222222222222
AtrialFibrillation,Multivariate,3,8,640,2,0.5,0.4125,0.5357142857142857,0.5
BasicMotions,Multivariate,4,20,100,6,1.0,1.0,1.0,1.0
Cricket,Multivariate,12,45,1197,6,0.9111111111111111,0.9069360269360269,0.9311111111111112,0.9111111111111111
ERing,Multivariate,6,75,65,4,0.96,0.960112443778111,0.9675,0.96
Epilepsy,Multivariate,4,69,206,3,0.9130434782608695,0.9099639898532986,0.9133069828722002,0.9130434782608695
EthanolConcentration,Multivariate,4,131,1751,3,0.3282442748091603,0.16223567605510222,0.10774430394499154,0.3282442748091603
FaceDetection,Multivariate,2,2354,62,144,0.5025488530161427,0.33616923557709744,0.2525553496678406,0.5025488530161427
FingerMovements,Multivariate,2,104,50,28,0.5673076923076923,0.5633024058690258,0.5679058844381425,0.5673076923076923
HandMovementDirection,Multivariate,4,59,400,10,0.2542372881355932,0.26327683615819214,0.2940619879179201,0.2542372881355932
Handwriting,Multivariate,26,250,152,3,0.564,0.5510515748131212,0.5770891465259886,0.564
Heartbeat,Multivariate,2,103,405,61,0.7281553398058253,0.698680878007598,0.7014981586876464,0.7281553398058253
LSST,Multivariate,14,1232,36,6,0.22402597402597402,0.19694712287868815,0.23537600805583714,0.22402597402597402
Libras,Multivariate,15,90,45,2,0.6555555555555556,0.6626128990834873,0.7036427769761103,0.6555555555555556
NATOPS,Multivariate,6,90,51,24,0.8666666666666667,0.8638760880696363,0.8649074074074075,0.8666666666666667
PenDigits,Multivariate,10,2748,8,2,0.9861717612809315,0.986185248418039,0.9865591646804002,0.9861717612809315
RacketSports,Multivariate,4,76,30,6,0.8026315789473685,0.7929543902271836,0.8072551169590644,0.8026315789473685
SelfRegulationSCP1,Multivariate,2,141,896,6,0.9078014184397163,0.9074735596279702,0.9094654691314964,0.9078014184397163
